AT1G03150	AT1G03150
AT1G03160	FZL
AT1G03165	AT1G03165
AT1G03170	FTM5
AT1G03180	AT1G03180
AT1G03190	UVH6
AT1G03200	AT1G03200
AT1G03210	AT1G03210
AT1G03220	AT1G03220
AT1G03230	AT1G03230
AT1G03240	AT1G03240
AT1G03250	AT1G03250
AT1G03260	AT1G03260
AT1G03270	AT1G03270
AT1G03280	AT1G03280
AT1G03290	AT1G03290
AT1G03300	DUF1
AT1G03310	ISA2
AT1G03320	AT1G03320
AT1G03325	AT1G03325
AT1G03330	LSM2
AT1G03340	AT1G03340
AT1G03350	AT1G03350
AT1G03360	SOP2
AT1G03365	AT1G03365
AT1G03370	AT1G03370
AT1G03380	ATG18G
AT1G03390	AT1G03390
AT1G03395	AT1G03395
AT1G03400	AT1G03400
AT1G03410	2A6
AT1G03420	Sadhu4-2
AT1G03430	AHP5
AT1G03440	AT1G03440
AT1G03445	BSU1
AT1G03457	BRN2
AT1G03470	NET3A
AT1G03475	LIN2
AT1G03490	NAC006
AT1G03495	AT1G03495
AT1G03502	AT1G03502
AT1G03506	AT1G03506
AT1G03510	AT1G03510
AT1G03515	AT1G03515
AT1G03520	AT1G03520
AT1G03530	NAF1
AT1G03540	AT1G03540
AT1G03545	AT1G03545
AT1G03550	SCAMP4
AT1G03560	AT1G03560
AT1G03570	AT1G03570
AT1G03580	AT1G03580
AT1G03590	AT1G03590
AT1G03600	PSB27
AT1G03610	AT1G03610
AT1G03620	AT1G03620
AT1G03630	PORC
AT1G03640	AT1G03640
AT1G03650	AT1G03650
AT1G03660	AT1G03660
AT1G03670	AT1G03670
AT1G03680	TRX-M1
AT1G03687	AT1G03687
AT1G03700	CASPL1C2
AT1G03710	AT1G03710
AT1G03720	AT1G03720
AT1G03730	AT1G03730
AT1G03740	AT1G03740
AT1G03743	AT1G03743
AT1G03746	AT1G03746
AT1G03750	CHR9
AT1G03760	AT1G03760
AT1G03770	RING1B
AT1G03780	TPX2
AT1G03790	SOM
AT1G03800	ERF10
AT1G03810	AT1G03810
AT1G03820	AT1G03820
AT1G03830	GBPL1
AT1G03840	MGP
AT1G03850	ROXY18
AT1G03860	PHB2
AT1G03870	FLA9
AT1G03880	CRU2
AT1G03890	AT1G03890
AT1G03900	NAP4
AT1G03905	ATNAP4
AT1G03910	CTN
AT1G03920	AT1G03920
AT1G03930	CKL9BETA
AT1G03935	AT1G03935
AT1G03940	AT1G03940
AT1G03950	VPS2.3
AT1G03960	AT1G03960
AT1G03970	GBF4
AT1G03980	PCS2
AT1G03982	AT1G03982
AT1G03987	AT1G03987
AT1G03990	AT1G03990
AT1G03993	AT1G03993
AT1G03997	AT1G03997
AT1G04000	AT1G04000
AT1G04003	AT1G04003
AT1G04007	AT1G04007
AT1G04010	PSAT1
AT1G04013	AT1G04013
AT1G04017	AT1G04017
AT1G04020	ROW1
AT1G04023	AT1G04023
AT1G04027	ath-MIR2112
AT1G04030	AT1G04030
AT1G04033	AT1G04033
AT1G04037	AT1G04037
AT1G04040	AT1G04040
AT1G04043	AT1G04043
AT1G04047	AT1G04047
AT1G04050	SUVR1
AT1G04053	AT1G04053
AT1G04057	AT1G04057
AT1G04063	AT1G04063
AT1G04067	AT1G04067
AT1G04070	TOM22-I
AT1G04073	AT1G04073
AT1G04077	AT1G04077
AT1G04080	PRP39a
AT1G04083	AT1G04083
AT1G04087	AT1G04087
AT1G04090	AT1G04090
AT1G04093	AT1G04093
AT1G04097	AT1G04097
AT1G04100	IAA10
AT1G04103	AT1G04103
AT1G04105	AT1G04105
AT1G04107	AT1G04107
AT1G04110	SDD1
AT1G04117	AT1G04117
AT1G04120	MRP5
AT1G04123	AT1G04123
AT1G04127	AT1G04127
AT1G04130	TPR2
AT1G04133	AT1G04133
AT1G04137	AT1G04137
AT1G04140	AT1G04140
AT1G04143	AT1G04143
AT1G04147	AT1G04147
AT1G04150	MCTP10
AT1G04153	AT1G04153
AT1G04157	AT1G04157
AT1G04160	XIB
AT1G04163	AT1G04163
AT1G04167	AT1G04167
AT1G04170	AT1G04170
AT1G04173	AT1G04173
AT1G04177	AT1G04177
AT1G04180	YUC9
AT1G04183	AT1G04183
AT1G04187	AT1G04187
AT1G04190	TPR3
AT1G04193	AT1G04193
AT1G04197	AT1G04197
AT1G04200	AT1G04200
AT1G04203	AT1G04203
AT1G04207	AT1G04207
AT1G04210	AT1G04210
AT1G04213	AT1G04213
AT1G04217	AT1G04217
AT1G04220	KCS2
AT1G04223	AT1G04223
AT1G04227	AT1G04227
AT1G04230	AT1G04230
AT1G04233	AT1G04233
AT1G04237	AT1G04237
AT1G04240	SHY2
AT1G04243	AT1G04243
AT1G04247	AT1G04247
AT1G04250	IAA17
AT1G04253	AT1G04253
AT1G04257	AT1G04257
AT1G04260	PRA1.D
AT1G04263	U5-6
AT1G04267	AT1G04267
AT1G04270	RPS15
AT1G04273	AT1G04273
AT1G04277	AT1G04277
AT1G04280	AT1G04280
AT1G04283	AT1G04283
AT1G04287	AT1G04287
AT1G04290	AT1G04290
AT1G04293	AT1G04293
AT1G04295	AT1G04295
AT1G04297	AT1G04297
AT1G04300	TRAF1b
AT1G04303	AT1G04303
